league,season,team,game,date,time,round,day,venue,result,GF,GA,opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
ENG-Premier League,2223,Aston Villa,2023-05-13 Aston Villa-Tottenham,2023-05-13,15:00:00,Matchweek 36,Sat,Home,W,2,1,Tottenham,1.2,1.4,48,42164,John McGinn,4-4-2,Peter Bankes
ENG-Premier League,2223,Aston Villa,2023-05-20 Liverpool-Aston Villa,2023-05-20,15:00:00,Matchweek 37,Sat,Away,D,1,1,Liverpool,1.3,0.7,34,53306,John McGinn,4-2-3-1,John Brooks
ENG-Premier League,2223,Aston Villa,2023-05-28 Aston Villa-Brighton,2023-05-28,16:30:00,Matchweek 38,Sun,Home,W,2,1,Brighton,2.8,1.4,41,,John McGinn,4-2-3-1,David Coote
ENG-Premier League,2223,Bournemouth,2022-08-06 Bournemouth-Aston Villa,2022-08-06,15:00:00,Matchweek 1,Sat,Home,W,2,0,Aston Villa,0.6,0.7,35,11013,Lloyd Kelly,3-4-3,Peter Bankes
ENG-Premier League,2223,Bournemouth,2022-08-13 Manchester City-Bournemouth,2022-08-13,15:00:00,Matchweek 2,Sat,Away,L,0,4,Manchester City,0.1,1.7,33,53453,Lloyd Kelly,3-4-3,David Coote
ENG-Premier League,2223,Bournemouth,2022-08-20 Bournemouth-Arsenal,2022-08-20,17:30:00,Matchweek 3,Sat,Home,L,0,3,Arsenal,0.3,1.3,43,10423,Lloyd Kelly,3-1-4-2,Craig Pawson
ENG-Premier League,2223,Bournemouth,2022-08-27 Liverpool-Bournemouth,2022-08-27,15:00:00,Matchweek 4,Sat,Away,L,0,9,Liverpool,0.3,3.3,31,53328,Adam Smith,4-2-3-1,Stuart Attwell
ENG-Premier League,2223,Bournemouth,2022-08-31 Bournemouth-Wolves,2022-08-31,19:30:00,Matchweek 5,Wed,Home,D,0,0,Wolves,0.4,1.5,35,10113,Lloyd Kelly,4-4-2,Anthony Taylor
ENG-Premier League,2223,Bournemouth,2022-09-03 Nott'ham Forest-Bournemouth,2022-09-03,15:00:00,Matchweek 6,Sat,Away,W,3,2,Nott'ham Forest,0.8,1.9,48,28720,Lloyd Kelly,4-2-3-1,Michael Oliver
ENG-Premier League,2223,Bournemouth,2022-09-17 Newcastle Utd-Bournemouth,2022-09-17,15:00:00,Matchweek 8,Sat,Away,D,1,1,Newcastle Utd,0.7,1.9,28,52238,Adam Smith,4-2-3-1,Craig Pawson
