date,home_team,away_team,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-11-20 19:45:00,Fiorentina,Milan,4,3,H,2,0,H,9,17,5,7,6,10,5,6,1,1,0,0
2021-11-20 17:00:00,Lazio,Juventus,0,2,A,0,1,A,8,11,1,5,12,15,3,2,3,1,0,0
2021-11-21 14:00:00,Bologna,Venezia,0,1,A,0,0,D,22,8,6,6,6,9,17,0,0,3,0,0
2021-11-21 19:45:00,Genoa,Roma,0,2,A,0,0,D,1,19,1,4,13,13,1,2,3,2,0,0
2021-11-21 17:00:00,Inter,Napoli,3,2,H,2,1,H,17,9,7,3,15,16,4,1,4,3,0,0
2021-11-21 14:00:00,Salernitana,Sampdoria,0,2,A,0,2,A,18,13,2,6,10,19,13,3,0,3,0,0
2021-11-21 11:30:00,Sassuolo,Cagliari,2,2,D,1,1,D,20,11,4,4,13,10,6,5,1,2,0,0
2021-11-22 19:45:00,Torino,Udinese,2,1,H,1,0,H,14,18,4,7,19,17,4,7,1,3,0,0
2021-11-22 17:30:00,Verona,Empoli,2,1,H,0,0,D,22,9,5,4,7,13,1,3,1,3,0,0
2021-11-26 19:45:00,Cagliari,Salernitana,1,1,D,0,0,D,19,8,3,2,13,10,7,6,3,1,0,0
2021-11-27 14:00:00,Empoli,Fiorentina,2,1,H,0,0,D,17,16,5,7,15,10,8,5,1,1,0,0
2021-11-27 17:00:00,Juventus,Atalanta,0,1,A,0,1,A,15,7,2,1,13,20,6,4,4,5,0,0
2021-11-27 14:00:00,Sampdoria,Verona,3,1,H,0,1,A,15,14,5,3,13,16,4,5,4,1,0,0
2021-11-27 19:45:00,Venezia,Inter,0,2,A,0,1,A,6,27,1,11,9,4,3,9,2,0,0,0
2021-11-28 14:00:00,Milan,Sassuolo,1,3,A,1,2,A,15,15,2,5,15,7,7,6,4,2,1,0
2021-11-28 19:45:00,Napoli,Lazio,4,0,H,3,0,H,18,6,8,2,9,14,1,3,2,4,0,0
2021-11-28 17:00:00,Roma,Torino,1,0,H,1,0,H,10,17,2,3,7,11,2,9,2,1,0,0
2021-11-28 14:00:00,Spezia,Bologna,0,1,A,0,0,D,13,17,5,5,16,12,3,6,3,1,0,0
2021-11-28 11:30:00,Udinese,Genoa,0,0,D,0,0,D,17,8,3,2,18,11,8,1,3,4,0,0
2021-11-30 17:30:00,Atalanta,Venezia,4,0,H,2,0,H,19,8,6,4,11,9,4,2,0,1,0,0
