,,,,date,round,day,venue,result,GF,GA,opponent,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,time
,,,,,,,,,,,,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,
league,season,team,game,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,1819,Bournemouth,2019-03-02 Bournemouth-Manchester City,2019-03-02,Matchweek 29,Sat,Home,L,0,1,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-09 Huddersfield-Bournemouth,2019-03-09,Matchweek 30,Sat,Away,W,2,0,Huddersfield,16,15,0,0,0,1,0,4,4,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-16 Bournemouth-Newcastle Utd,2019-03-16,Matchweek 31,Sat,Home,D,2,2,Newcastle Utd,16,8,4,0,0,3,1,4,1,1,0,0,1,1,15:00:00
ENG-Premier League,1819,Bournemouth,2019-03-30 Leicester City-Bournemouth,2019-03-30,Matchweek 32,Sat,Away,L,0,2,Leicester City,16,14,0,2,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-06 Bournemouth-Burnley,2019-04-06,Matchweek 33,Sat,Home,L,1,3,Burnley,18,13,1,1,1,2,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-13 Brighton-Bournemouth,2019-04-13,Matchweek 34,Sat,Away,W,5,0,Brighton,25,22,0,1,0,1,1,8,7,0,1,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-20 Bournemouth-Fulham,2019-04-20,Matchweek 35,Sat,Home,L,0,1,Fulham,22,14,2,1,3,2,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-04-27 Southampton-Bournemouth,2019-04-27,Matchweek 36,Sat,Away,D,3,3,Southampton,16,11,3,0,1,0,1,5,4,0,0,1,0,0,15:00:00
ENG-Premier League,1819,Bournemouth,2019-05-04 Bournemouth-Tottenham,2019-05-04,Matchweek 37,Sat,Home,W,1,0,Tottenham,37,28,4,0,3,2,0,1,0,1,0,0,0,0,12:30:00
ENG-Premier League,1819,Bournemouth,2019-05-12 Crystal Palace-Bournemouth,2019-05-12,Matchweek 38,Sun,Away,L,3,5,Crystal Palace,28,20,4,2,1,1,0,5,3,1,0,1,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-08-11 Watford-Brighton,2018-08-11,Matchweek 1,Sat,Away,L,0,2,Watford,11,6,1,3,0,1,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-08-19 Brighton-Manchester Utd,2018-08-19,Matchweek 2,Sun,Home,W,3,2,Manchester Utd,10,6,0,0,1,2,1,5,3,0,0,1,1,0,16:00:00
ENG-Premier League,1819,Brighton,2018-08-25 Liverpool-Brighton,2018-08-25,Matchweek 3,Sat,Away,L,0,1,Liverpool,10,9,0,1,0,0,0,0,0,0,0,0,0,0,17:30:00
ENG-Premier League,1819,Brighton,2018-09-01 Brighton-Fulham,2018-09-01,Matchweek 4,Sat,Home,D,2,2,Fulham,26,15,3,2,2,3,1,3,1,0,0,0,1,1,15:00:00
ENG-Premier League,1819,Brighton,2018-09-17 Southampton-Brighton,2018-09-17,Matchweek 5,Mon,Away,D,2,2,Southampton,22,14,4,0,2,2,0,4,0,2,0,0,2,0,20:00:00
ENG-Premier League,1819,Brighton,2018-09-22 Brighton-Tottenham,2018-09-22,Matchweek 6,Sat,Home,L,1,2,Tottenham,15,10,3,1,0,1,0,1,1,0,0,0,0,0,17:30:00
ENG-Premier League,1819,Brighton,2018-09-29 Manchester City-Brighton,2018-09-29,Matchweek 7,Sat,Away,L,0,2,Manchester City,8,4,2,1,1,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-10-05 Brighton-West Ham,2018-10-05,Matchweek 8,Fri,Home,W,1,0,West Ham,13,9,3,1,0,0,0,2,2,0,0,0,0,0,20:00:00
ENG-Premier League,1819,Brighton,2018-10-20 Newcastle Utd-Brighton,2018-10-20,Matchweek 9,Sat,Away,W,1,0,Newcastle Utd,8,3,1,1,1,0,2,1,0,0,0,1,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-10-27 Brighton-Wolves,2018-10-27,Matchweek 10,Sat,Home,W,1,0,Wolves,11,4,3,0,2,2,0,1,0,0,0,1,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-11-03 Everton-Brighton,2018-11-03,Matchweek 11,Sat,Away,L,1,3,Everton,10,8,2,0,0,0,0,2,1,1,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-11-10 Cardiff City-Brighton,2018-11-10,Matchweek 12,Sat,Away,L,1,2,Cardiff City,13,6,2,2,1,2,0,2,0,1,0,0,1,0,12:30:00
ENG-Premier League,1819,Brighton,2018-11-24 Brighton-Leicester City,2018-11-24,Matchweek 13,Sat,Home,D,1,1,Leicester City,27,19,2,0,3,1,2,2,1,1,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-12-01 Huddersfield-Brighton,2018-12-01,Matchweek 14,Sat,Away,W,2,1,Huddersfield,25,17,3,0,4,1,0,4,3,1,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-12-04 Brighton-Crystal Palace,2018-12-04,Matchweek 15,Tue,Home,W,3,1,Crystal Palace,11,6,1,1,0,3,0,1,0,0,0,0,1,0,19:45:00
ENG-Premier League,1819,Brighton,2018-12-08 Burnley-Brighton,2018-12-08,Matchweek 16,Sat,Away,L,0,1,Burnley,25,14,4,2,2,1,2,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-12-16 Brighton-Chelsea,2018-12-16,Matchweek 17,Sun,Home,L,1,2,Chelsea,10,8,0,1,0,1,0,2,2,0,0,0,0,0,13:30:00
ENG-Premier League,1819,Brighton,2018-12-22 Bournemouth-Brighton,2018-12-22,Matchweek 18,Sat,Away,L,0,2,Bournemouth,20,18,1,0,0,1,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2018-12-26 Brighton-Arsenal,2018-12-26,Matchweek 19,Wed,Home,D,1,1,Arsenal,22,19,1,2,0,0,0,1,0,0,1,0,0,0,17:15:00
ENG-Premier League,1819,Brighton,2018-12-29 Brighton-Everton,2018-12-29,Matchweek 20,Sat,Home,W,1,0,Everton,15,6,3,2,2,2,0,1,0,0,0,1,0,0,15:00:00
ENG-Premier League,1819,Brighton,2019-01-02 West Ham-Brighton,2019-01-02,Matchweek 21,Wed,Away,D,2,2,West Ham,24,13,5,2,3,0,1,4,2,1,0,1,0,0,19:45:00
ENG-Premier League,1819,Brighton,2019-01-12 Brighton-Liverpool,2019-01-12,Matchweek 22,Sat,Home,L,0,1,Liverpool,13,12,1,0,0,0,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2019-01-19 Manchester Utd-Brighton,2019-01-19,Matchweek 23,Sat,Away,L,1,2,Manchester Utd,14,9,3,0,0,2,0,2,2,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2019-01-29 Fulham-Brighton,2019-01-29,Matchweek 24,Tue,Away,L,2,4,Fulham,23,14,2,1,3,3,0,3,2,0,0,1,0,0,19:45:00
ENG-Premier League,1819,Brighton,2019-02-02 Brighton-Watford,2019-02-02,Matchweek 25,Sat,Home,D,0,0,Watford,42,24,8,5,2,3,0,0,0,0,0,0,0,0,15:00:00
ENG-Premier League,1819,Brighton,2019-02-09 Brighton-Burnley,2019-02-09,Matchweek 26,Sat,Home,L,1,3,Burnley,32,22,4,1,1,4,0,2,0,1,0,0,1,0,17:30:00
ENG-Premier League,1819,Brighton,2019-02-26 Leicester City-Brighton,2019-02-26,Matchweek 28,Tue,Away,L,1,2,Leicester City,25,18,3,1,2,1,0,2,2,0,0,0,0,0,19:45:00
